,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species
1218814,Ecbolium poeppigianum (Nees) Kuntze,Justicia poeppigiana (Nees) Lindau,Justicia poeppigiana (Nees) Lindau,Justicia poeppigiana (Nees) Lindau,Justicia poeppigiana,Justicia oriximinensis F.A.Silva & Kameyama,Justicia oriximinensis
1219508,Leea sambucina var. sumatrana (Miq.) Miq.,Leea indica (Burm.f.) Merr.,Leea indica (Burm.f.) Merr.,Leea indica (Burm.f.) Merr.,Leea indica,Leea javanica Blume,Leea javanica
1219509,Leea sundaica var. fuliginosa (Miq.) Miq.,Leea indica (Burm.f.) Merr.,Leea indica (Burm.f.) Merr.,Leea indica (Burm.f.) Merr.,Leea indica,Leea javanica Blume,Leea javanica
1219609,Caprifolium altmannii (Regel & Schmalh.) Kuntze,Lonicera humilis Kar. & Kir.,Lonicera humilis Kar. & Kir.,Lonicera humilis Kar. & Kir.,Lonicera humilis,Lonicera altmannii Regel & Schmalh.,Lonicera altmannii
1219632,Lonicera × americana f. rubella (DC.) Rehder,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana,Lonicera × italica Kütz.,Lonicera × italica
1219633,Lonicera × americana var. rubella (DC.) Rehder,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana,Lonicera × italica Kütz.,Lonicera × italica
1219634,Caprifolium italicum var. rubrum (Weston) Schult.,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana (Mill.) K.Koch,Lonicera × americana,Lonicera × italica Kütz.,Lonicera × italica
1219735,Leea guineensis var. cuspidifera (Baker) Desc.,Leea guineensis G.Don,Leea guineensis G.Don,Leea guineensis G.Don,Leea guineensis,Leea cuspidifera Baker,Leea cuspidifera
1219781,Lampranthus globosus L.Bolus,Lampranthus dregeanus (Sond.) N.E.Br.,Lampranthus dregeanus (Sond.) N.E.Br.,Lampranthus dregeanus (Sond.) N.E.Br.,Lampranthus dregeanus,Lampranthus globosus L.Bolus,Lampranthus globosus
1219812,Lampranthus blandus (Haw.) Schwantes,Lampranthus multiradiatus (Jacq.) N.E.Br.,Lampranthus multiradiatus (Jacq.) N.E.Br.,Lampranthus multiradiatus (Jacq.) N.E.Br.,Lampranthus multiradiatus,Lampranthus blandus (Haw.) Schwantes,Lampranthus blandus
1219818,Lampranthus subaequalis (L.Bolus) L.Bolus,Lampranthus swartbergensis (L.Bolus) N.E.Br.,Lampranthus swartbergensis (L.Bolus) N.E.Br.,Lampranthus swartbergensis (L.Bolus) N.E.Br.,Lampranthus swartbergensis,Lampranthus subaequalis (L.Bolus) L.Bolus,Lampranthus subaequalis
1219822,Lampranthus mutans (L.Bolus) N.E.Br.,Lampranthus productus (Haw.) N.E.Br.,Lampranthus productus (Haw.) N.E.Br.,Lampranthus productus (Haw.) N.E.Br.,Lampranthus productus,Lampranthus mutans (L.Bolus) N.E.Br.,Lampranthus mutans
1219952,Lonchocarpus benthamianus Pittier,Lonchocarpus punctatus Kunth,Lonchocarpus punctatus Kunth,Lonchocarpus punctatus Kunth,Lonchocarpus punctatus,Lonchocarpus benthamianus Pittier,Lonchocarpus benthamianus
1220161,Lupinus microcarpus var. scopulorum (C.P.Sm.) C.P.Sm.,Lupinus microcarpus var. densiflorus (Benth.) Jeps.,Lupinus microcarpus var. densiflorus (Benth.) Jeps.,Lupinus microcarpus var. densiflorus (Benth.) Jeps.,Lupinus microcarpus,Lupinus microcarpus var. microcarpus,Lupinus microcarpus
1220652,Myosotis drucei (L.B.Moore) de Lange & Barkla,Myosotis antarctica Hook.f.,Myosotis antarctica Hook.f.,Myosotis antarctica Hook.f.,Myosotis antarctica,Myosotis antarctica subsp. antarctica,Myosotis antarctica
1221116,Agrosinapis arvensis (L.) Fourr.,Moricandia arvensis (L.) DC.,Moricandia arvensis (L.) DC.,Moricandia arvensis (L.) DC.,Moricandia arvensis,Mutarda arvensis (L.) D.A.German,Mutarda arvensis
1221139,Mammillaria mendeliana (Bravo) Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. mendeliana (Bravo) D.R.Hunt,Mammillaria hahniana
1221140,Mammillaria hahniana subsp. mendeliana (Bravo) D.R.Hunt,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. mendeliana (Bravo) D.R.Hunt,Mammillaria hahniana
1221141,Neomammillaria woodsii (R.T.Craig) Y.Itô,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. woodsii (R.T.Craig) D.R.Hunt,Mammillaria hahniana
1221142,Mammillaria hahniana subsp. woodsii (R.T.Craig) D.R.Hunt,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. woodsii (R.T.Craig) D.R.Hunt,Mammillaria hahniana
1221143,Neomammillaria hahniana var. werdermanniana (F.Schmoll ex R.T.Craig) Y.Itô,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. hahniana,Mammillaria hahniana
1221145,Mammillaria saetigera subsp. woodsii (R.T.Craig) Rogoz. & Plein,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana Werderm.,Mammillaria hahniana,Mammillaria hahniana subsp. woodsii (R.T.Craig) D.R.Hunt,Mammillaria hahniana
1221485,Mitreola angustifolia (Torr. & A.Gray) J.B.Nelson,Mitreola sessilifolia (J.F.Gmel.) G.Don,Mitreola sessilifolia (J.F.Gmel.) G.Don,Mitreola sessilifolia (J.F.Gmel.) G.Don,Mitreola sessilifolia,Mitreola angustifolia (Torr. & A.Gray) J.B.Nelson,Mitreola angustifolia
1221618,Mimosa biuncifera var. flexuosa B.L.Rob.,Mimosa biuncifera Benth.,Mimosa biuncifera Benth.,Mimosa biuncifera Benth.,Mimosa biuncifera,Mimosa warnockii B.L.Turner,Mimosa warnockii
1221621,Mimosa warnockii B.L.Turner,Mimosa biuncifera Benth.,Mimosa biuncifera Benth.,Mimosa biuncifera Benth.,Mimosa biuncifera,Mimosa warnockii B.L.Turner,Mimosa warnockii
1221679,Arenaria fasciculata subsp. cymifera (Rouy & Foucaud) Bonnier,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
1221680,Alsine fasciculata subsp. cymifera (Rouy & Foucaud) Cadevall,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
1221682,Minuartia rubra subsp. cymifera (Rouy & Foucaud) P.Monts.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
1221683,Arenaria cymifera (Rouy & Foucaud) Bonnier,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
1221684,Minuartia glomerata subsp. cymifera (Rouy & Foucaud) Favarger & F.Conti,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
1221685,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata (L.) Schinz & Thell.,Minuartia mucronata,Minuartia cymifera (Rouy & Foucaud) Graebn.,Minuartia cymifera
1221760,Monteverdia acanthophylla (Reissek) Biral,Maytenus ilicifolia Mart. ex Reissek,Maytenus ilicifolia Mart. ex Reissek,Maytenus ilicifolia Mart. ex Reissek,Maytenus ilicifolia,Maytenus acanthophylla Reissek,Maytenus acanthophylla
1221766,Melocactus zehntneri subsp. arcuatispinus (Brederoo & Eerkens) P.J.Braun & Esteves,Melocactus zehntneri (Britton & Rose) Luetzelb.,Melocactus zehntneri (Britton & Rose) Luetzelb.,Melocactus zehntneri (Britton & Rose) Luetzelb.,Melocactus zehntneri,Melocactus zehntneri subsp. zehntneri,Melocactus zehntneri
1221781,Melocactus diersianus f. rubrispinus (F.Ritter) P.J.Braun,Melocactus levitestatus Buining & Brederoo,Melocactus levitestatus Buining & Brederoo,Melocactus levitestatus Buining & Brederoo,Melocactus levitestatus,Melocactus levitestatus subsp. levitestatus,Melocactus levitestatus
1221821,Monotropsis reynoldsiae (A.Gray) A.Heller,Monotropsis odorata Schwein.,Monotropsis odorata Schwein.,Monotropsis odorata Schwein.,Monotropsis odorata,Monotropsis reynoldsiae (A.Gray) A.Heller,Monotropsis reynoldsiae
1222721,Ononis tridentata subsp. angustifolia (Lange) Devesa & G.López,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,Ononis tridentata subsp. angustifolia (Lange) Devesa & G.López,Ononis tridentata
1222722,Ononis tridentata f. intricata (Willk.) Lange,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,"Ononis tridentata subsp. barrelieri (Dufour) Pérez Dacosta, Uribe-Ech. & Urrutia",Ononis tridentata
1222723,Ononis tridentata var. angustifolia (Lange) Nyman,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,Ononis tridentata subsp. angustifolia (Lange) Devesa & G.López,Ononis tridentata
1222724,Ononis tridentata subsp. crassifolia (L.M.Dufour ex Boiss.) Nyman,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,Ononis tridentata subsp. tridentata,Ononis tridentata
1222725,"Ononis tridentata subsp. barrelieri (Dufour) Pérez Dacosta, Uribe-Ech. & Urrutia",Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,"Ononis tridentata subsp. barrelieri (Dufour) Pérez Dacosta, Uribe-Ech. & Urrutia",Ononis tridentata
1222726,Ononis tridentata var. erecta (Lange) Willk.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,"Ononis tridentata subsp. barrelieri (Dufour) Pérez Dacosta, Uribe-Ech. & Urrutia",Ononis tridentata
1222727,Ononis tridentata var. intricata (Willk.) Willk.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata L.,Ononis tridentata,"Ononis tridentata subsp. barrelieri (Dufour) Pérez Dacosta, Uribe-Ech. & Urrutia",Ononis tridentata
1222883,Opuntia comonduensis (J.M.Coult.) Britton & Rose,Opuntia tapona Engelm. ex J.M.Coult.,Opuntia tapona Engelm. ex J.M.Coult.,Opuntia tapona Engelm. ex J.M.Coult.,Opuntia tapona,Opuntia comonduensis (J.M.Coult.) Britton & Rose,Opuntia comonduensis
1223080,Oxalis boreaui P.Fourn.,Oxalis corniculata L.,Oxalis corniculata L.,Oxalis corniculata L.,Oxalis corniculata,Oxalis dillenii Jacq.,Oxalis dillenii
1223121,Acetosella pygmaea Kuntze,Oxalis laxa Hook. & Arn.,Oxalis laxa Hook. & Arn.,Oxalis laxa Hook. & Arn.,Oxalis laxa,Oxalis laxa var. laxa,Oxalis laxa
1223122,Acetosella brevicaulis (Steud.) Kuntze,Oxalis laxa Hook. & Arn.,Oxalis laxa Hook. & Arn.,Oxalis laxa Hook. & Arn.,Oxalis laxa,Oxalis laxa var. laxa,Oxalis laxa
1223882,Pleurospermum longicarpum R.H.Shan & Z.H.Pan,Pterocyclus rotundatus (DC.) Pimenov & Kljuykov,Pterocyclus rotundatus (DC.) Pimenov & Kljuykov,Pterocyclus rotundatus (DC.) Pimenov & Kljuykov,Pterocyclus rotundatus,Pterocyclus wolffianus Fedde ex H.Wolff,Pterocyclus wolffianus
1223926,Petalidium ovatum (Schinz) C.B.Clarke,Petalidium englerianum (Schinz) C.B.Clarke,Petalidium englerianum (Schinz) C.B.Clarke,Petalidium englerianum (Schinz) C.B.Clarke,Petalidium englerianum,Petalidium ovatum (Schinz) C.B.Clarke,Petalidium ovatum
1224112,Gypsophila velutina (Guss.) D.Dietr.,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
1224113,Tunica velutina (Guss.) Fisch. & C.A.Mey.,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
1224114,Tunica prolifera subsp. velutina (Guss.) Briq.,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
1224115,Petrorhagia velutina (Guss.) P.W.Ball & Heywood,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
1224116,Tunica prolifera var. velutina (Guss.) Ewart,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
1224117,Dianthus prolifer subsp. velutinus (Guss.) Batt.,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
1224119,Tunica prolifera proles velutina (Guss.) Rouy & Foucaud,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
1224120,Petrorhagia prolifera subsp. velutina (Guss.) O.Bolòs & Vigo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
1224121,Kohlrauschia velutina (Guss.) Rchb.,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia (Raf.) G.López & Romo,Petrorhagia dubia,Petrorhagia dubia subsp. dubia,Petrorhagia dubia
1224481,Allocarya muricata (Ruiz & Pav.) Reiche,Plagiobothrys humilis (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys humilis (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys humilis (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys humilis,Plagiobothrys muricatus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys muricatus
1224482,Eritrichium muricatum (Ruiz & Pav.) A.DC.,Plagiobothrys humilis (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys humilis (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys humilis (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys humilis,Plagiobothrys muricatus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys muricatus
1224483,Plagiobothrys muricatus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys humilis (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys humilis (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys humilis (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys humilis,Plagiobothrys muricatus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys muricatus
1224517,Allocarya tenuifolia var. longipes (Phil.) Reiche,Plagiobothrys corymbosus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys corymbosus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys corymbosus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys corymbosus,Plagiobothrys pedicellaris (Phil.) I.M.Johnst.,Plagiobothrys pedicellaris
1224518,Allocarya capitata (Clos ex Gay) Brand,Plagiobothrys corymbosus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys corymbosus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys corymbosus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys corymbosus,Plagiobothrys pedicellaris (Phil.) I.M.Johnst.,Plagiobothrys pedicellaris
1224519,Allocarya capitata var. longipes (Phil.) Brand,Plagiobothrys corymbosus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys corymbosus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys corymbosus (Ruiz & Pav.) I.M.Johnst.,Plagiobothrys corymbosus,Plagiobothrys pedicellaris (Phil.) I.M.Johnst.,Plagiobothrys pedicellaris
1224581,Brasilicactus graessneri (K.Schum.) Backeb.,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii,Parodia graessneri (K.Schum.) F.H.Brandt,Parodia graessneri
1224582,Parodia haselbergii subsp. graessneri (K.Schum.) Hofacker & P.J.Braun,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii,Parodia graessneri (K.Schum.) F.H.Brandt,Parodia graessneri
1224583,Notocactus graessneri (K.Schum.) A.Berger ex Backeb. & F.M.Knuth,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii,Parodia graessneri (K.Schum.) F.H.Brandt,Parodia graessneri
1224584,Dactylanthocactus graessneri (K.Schum.) Y.Itô,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii,Parodia graessneri (K.Schum.) F.H.Brandt,Parodia graessneri
1224585,Parodia graessneri (K.Schum.) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii,Parodia graessneri (K.Schum.) F.H.Brandt,Parodia graessneri
1224586,Acanthocephala graessneri (K.Schum.) Guiggi,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii,Parodia graessneri (K.Schum.) F.H.Brandt,Parodia graessneri
1224587,Malacocarpus graessneri (K.Schum.) Britton & Rose,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii (Haage ex Rümpler) F.H.Brandt,Parodia haselbergii,Parodia graessneri (K.Schum.) F.H.Brandt,Parodia graessneri
1224686,Notocactus × erubescens f. schlosseri (Vliet) N.Gerloff & Neduchal,Parodia × erubescens (Osten) D.R.Hunt,Parodia × erubescens (Osten) D.R.Hunt,Parodia × erubescens (Osten) D.R.Hunt,Parodia × erubescens,"Parodia schlosseri (Vliet) Hofacker, A.S.Oliveira & R.Pontes",Parodia schlosseri
1224925,Sedum sachalinense (Boriss.) Vorosch.,Rhodiola rosea L.,Rhodiola rosea L.,Rhodiola rosea L.,Rhodiola rosea,Rhodiola sachalinensis Boriss.,Rhodiola sachalinensis
1224931,Rhodiola rosea subsp. borealis (Boriss.) A.P.Khokhr. & Kuvaev,Rhodiola rosea L.,Rhodiola rosea L.,Rhodiola rosea L.,Rhodiola rosea,Rhodiola borealis Boriss.,Rhodiola borealis
1224933,Rhodiola rosea subsp. sachalinensis (Boriss.) S.B.Gontch.,Rhodiola rosea L.,Rhodiola rosea L.,Rhodiola rosea L.,Rhodiola rosea,Rhodiola sachalinensis Boriss.,Rhodiola sachalinensis
1225077,Sulcorebutia torotorensis (Cárdenas) F.H.Brandt,Weingartia purpurea Donald & A.B.Lau,Weingartia purpurea Donald & A.B.Lau,Weingartia purpurea Donald & A.B.Lau,Weingartia purpurea,Weingartia torotorensis Cárdenas,Weingartia torotorensis
1225081,Cinnabarinea torotorensis (Cárdenas) F.Ritter,Weingartia purpurea Donald & A.B.Lau,Weingartia purpurea Donald & A.B.Lau,Weingartia purpurea Donald & A.B.Lau,Weingartia purpurea,Weingartia torotorensis Cárdenas,Weingartia torotorensis
1225410,Rostellularia vahliana (Schult.) Mabb.,Rostellularia quinqueangularis (J.Koenig ex Roxb.) Nees,Rostellularia quinqueangularis (J.Koenig ex Roxb.) Nees,Rostellularia quinqueangularis (J.Koenig ex Roxb.) Nees,Rostellularia quinqueangularis,Rostellularia vahliana (Schult.) Mabb.,Rostellularia vahliana
1225412,Justicia vahlii var. rupicola (J.L.Ellis) Karthik. & Moorthy,Rostellularia quinqueangularis (J.Koenig ex Roxb.) Nees,Rostellularia quinqueangularis (J.Koenig ex Roxb.) Nees,Rostellularia quinqueangularis (J.Koenig ex Roxb.) Nees,Rostellularia quinqueangularis,Rostellularia vahliana (Schult.) Mabb.,Rostellularia vahliana
1225591,Rumex australis (Willk.) A.Fern.,Rumex acetosella subsp. pyrenaicus (Pourr. ex Lapeyr.) Akeroyd,Rumex acetosella subsp. pyrenaicus (Pourr. ex Lapeyr.) Akeroyd,Rumex acetosella subsp. pyrenaicus (Pourr. ex Lapeyr.) Akeroyd,Rumex acetosella,Rumex acetosella subsp. angiocarpus (Murb.) Murb.,Rumex acetosella
1225592,Acetosella multifida subsp. australis (Willk.) Kubát,Rumex acetosella subsp. pyrenaicus (Pourr. ex Lapeyr.) Akeroyd,Rumex acetosella subsp. pyrenaicus (Pourr. ex Lapeyr.) Akeroyd,Rumex acetosella subsp. pyrenaicus (Pourr. ex Lapeyr.) Akeroyd,Rumex acetosella,Rumex acetosella subsp. angiocarpus (Murb.) Murb.,Rumex acetosella
1226114,Trichosanthes bracteata var. scotanthus (C.B.Clarke) Hand.-Mazz.,Trichosanthes wallichiana (Ser.) Wight,Trichosanthes wallichiana (Ser.) Wight,Trichosanthes wallichiana (Ser.) Wight,Trichosanthes wallichiana,Trichosanthes wallichiana subsp. wallichiana,Trichosanthes wallichiana
1226215,"Tridimeris baillonii G.E.Schatz ex Maas, E.A.Mennega & Westra",Tridimeris hahniana Baill.,Tridimeris hahniana Baill.,Tridimeris hahniana Baill.,Tridimeris hahniana,Tridimeris nebulosa Ortíz-Rodr. & Hurt.-Rev.,Tridimeris nebulosa
1226302,Tephrocactus setiger subsp. deminutus (Rausch) G.Popov,Tephrocactus aulacothele subsp. aulacothele,Tephrocactus aulacothele subsp. aulacothele,Tephrocactus aulacothele subsp. aulacothele,Tephrocactus aulacothele,Tephrocactus aulacothele subsp. deminutus (Rausch) R.Kiesling & Oakley,Tephrocactus aulacothele
1226303,Ursopuntia textoris var. deminuta (Rausch) P.V.Heath,Tephrocactus aulacothele subsp. aulacothele,Tephrocactus aulacothele subsp. aulacothele,Tephrocactus aulacothele subsp. aulacothele,Tephrocactus aulacothele,Tephrocactus aulacothele subsp. deminutus (Rausch) R.Kiesling & Oakley,Tephrocactus aulacothele
1226874,Ulex richteri (Rouy) A.W.Hill,Ulex gallii Planch.,Ulex gallii Planch.,Ulex gallii Planch.,Ulex gallii,Ulex gallii subsp. gallii,Ulex gallii
1226968,Vigna marina subsp. riukiuensis (Ohwi) S.S.Ying,Vigna marina (Burm.) Merr.,Vigna marina (Burm.) Merr.,Vigna marina (Burm.) Merr.,Vigna marina,Vigna minima (Roxb.) Ohwi & H.Ohashi,Vigna minima
1227025,Vicia subbiflora Salzm. ex Pau,Vicia villosa subsp. ambigua (Guss.) Kerguélen,Vicia villosa subsp. ambigua (Guss.) Kerguélen,Vicia villosa subsp. ambigua (Guss.) Kerguélen,Vicia villosa,Vicia elegantissima Shuttlew.,Vicia elegantissima
1227026,Vicia villosa subsp. elegantissima (Shuttlew.) G.Bosc & Kerguélen,Vicia villosa subsp. ambigua (Guss.) Kerguélen,Vicia villosa subsp. ambigua (Guss.) Kerguélen,Vicia villosa subsp. ambigua (Guss.) Kerguélen,Vicia villosa,Vicia elegantissima Shuttlew.,Vicia elegantissima
1227027,Vicia villosa var. brevipes (Willk.) Jahand. & Maire,Vicia villosa subsp. ambigua (Guss.) Kerguélen,Vicia villosa subsp. ambigua (Guss.) Kerguélen,Vicia villosa subsp. ambigua (Guss.) Kerguélen,Vicia villosa,Vicia elegantissima Shuttlew.,Vicia elegantissima
1227175,Veronica nevskii Boriss.,Veronica biloba Schreb. ex L.,Veronica biloba Schreb. ex L.,Veronica biloba Schreb. ex L.,Veronica biloba,Veronica biloba var. biloba,Veronica biloba
1227525,Cyanococcus elliottii (Chapm.) Small,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum,Vaccinium elliottii Chapm.,Vaccinium elliottii
1227526,Vaccinium elliottii Chapm.,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum,Vaccinium elliottii Chapm.,Vaccinium elliottii
1227527,Vaccinium corymbosum var. amoenum (Aiton) A.Gray,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum,Vaccinium virgatum Aiton,Vaccinium virgatum
1227528,Cyanococcus fuscatus (Aiton) Small,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum,Vaccinium fuscatum Aiton,Vaccinium fuscatum
1227529,Cyanococcus atrococcus (A.Gray) Small,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum,Vaccinium fuscatum Aiton,Vaccinium fuscatum
1227530,Vaccinium atrococcum (A.Gray) A.Heller,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum,Vaccinium fuscatum Aiton,Vaccinium fuscatum
1227532,Cyanococcus virgatus (Aiton) Small,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum,Vaccinium virgatum Aiton,Vaccinium virgatum
1227536,Vaccinium corymbosum var. fuscatum (Aiton) Hook.,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum L.,Vaccinium corymbosum,Vaccinium fuscatum Aiton,Vaccinium fuscatum
